recording_filename_well,treatment_timepoint,condition,cell_line,batch,age_DPD
AP6_46plusDIV15_A4,NA,NA,272XX,1,15
AP6_46plusDIV15_A5,NA,NA,272XX,1,15
AP6_46plusDIV15_A6,NA,NA,272XX,1,15
AP6_46plusDIV15_B4,NA,NA,272XX,1,15
AP6_46plusDIV15_B5,NA,NA,272XX,1,15
AP6_46plusDIV15_B6,NA,NA,272XX,1,15
AP6_46plusDIV15_C4,NA,NA,272XX,1,15
AP6_46plusDIV15_C5,NA,NA,272XX,1,15
AP6_46plusDIV15_C6,NA,NA,272XX,1,15
AP6_46plusDIV15_D4,NA,NA,272XX,1,15
AP6_46plusDIV15_D5,NA,NA,272XX,1,15
AP6_46plusDIV15_D6,NA,NA,272XX,1,15
AP6_46plusDIV22_A4,NA,NA,272XX,1,22
AP6_46plusDIV22_A5,NA,NA,272XX,1,22
AP6_46plusDIV22_A6,NA,NA,272XX,1,22
AP6_46plusDIV22_B4,NA,NA,272XX,1,22
AP6_46plusDIV22_B5,NA,NA,272XX,1,22
AP6_46plusDIV22_B6,NA,NA,272XX,1,22
AP6_46plusDIV22_C4,NA,NA,272XX,1,22
AP6_46plusDIV22_C5,NA,NA,272XX,1,22
AP6_46plusDIV22_C6,NA,NA,272XX,1,22
AP6_46plusDIV22_D4,NA,NA,272XX,1,22
AP6_46plusDIV22_D5,NA,NA,272XX,1,22
AP6_46plusDIV22_D6,NA,NA,272XX,1,22
AP6_46plusDIV29_A4,NA,NA,272XX,1,29
AP6_46plusDIV29_A5,NA,NA,272XX,1,29
AP6_46plusDIV29_A6,NA,NA,272XX,1,29
AP6_46plusDIV29_B4,NA,NA,272XX,1,29
AP6_46plusDIV29_B5,NA,NA,272XX,1,29
AP6_46plusDIV29_B6,NA,NA,272XX,1,29
AP6_46plusDIV29_C4,NA,NA,272XX,1,29
AP6_46plusDIV29_C5,NA,NA,272XX,1,29
AP6_46plusDIV29_C6,NA,NA,272XX,1,29
AP6_46plusDIV29_D4,NA,NA,272XX,1,29
AP6_46plusDIV29_D5,NA,NA,272XX,1,29
AP6_46plusDIV29_D6,NA,NA,272XX,1,29
AP6_46plusDIV37_A4,7days,Vehicle,272XX,1,37
AP6_46plusDIV37_A5,7days,PPT,272XX,1,37
AP6_46plusDIV37_A6,7days,WAY,272XX,1,37
AP6_46plusDIV37_B4,7days,Vehicle,272XX,1,37
AP6_46plusDIV37_B5,7days,PPT,272XX,1,37
AP6_46plusDIV37_B6,7days,WAY,272XX,1,37
AP6_46plusDIV37_C4,7days,Vehicle,272XX,1,37
AP6_46plusDIV37_C5,7days,PPT,272XX,1,37
AP6_46plusDIV37_C6,7days,WAY,272XX,1,37
AP6_46plusDIV37_D4,7days,Vehicle,272XX,1,37
AP6_46plusDIV37_D5,7days,PPT,272XX,1,37
AP6_46plusDIV37_D6,7days,WAY,272XX,1,37
AP6_46plusDIV6_A4,NA,NA,272XX,1,6
AP6_46plusDIV6_A5,NA,NA,272XX,1,6
